N,Model,Price,Ram,CPU,Graphic,Storage
3741,Acer,1299,16GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD
3742,MSI,997.9,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
3743,Asus,419,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,128GB SSD
3744,Dell,2051,16GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
3745,HP,699,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 520,256GB SSD
3746,Lenovo,1499,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
3747,Dell,2813.75,16GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
3748,HP,612.61,4GB,Intel Core i5 7200U 2.5GHz,AMD Radeon 520,500GB HDD
3749,Dell,545.67,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,1TB HDD
3750,HP,569,6GB,AMD A10-Series 9600P 2.4GHz,AMD Radeon R7 M440,2TB HDD
3751,Lenovo,318,4GB,Intel Celeron Dual Core 3855U 1.6GHz,Intel HD Graphics 510,500GB HDD
3752,Acer,375,4GB,Intel Celeron Dual Core 3855U 1.6GHz,Intel HD Graphics 510,32GB Flash Storage
3753,Lenovo,699,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3754,HP,1907.99,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,500GB HDD
3755,Lenovo,2590,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3756,Toshiba,973,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3757,Acer,269,4GB,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,32GB Flash Storage
3758,Lenovo,1749,16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3759,Asus,669,4GB,Intel Core M M3-6Y30 0.9GHz,Intel HD Graphics 515,64GB Flash Storage
3760,Toshiba,1877,16GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
3761,HP,689,4GB,Intel Core i7 7500U 2.7GHz,AMD Radeon 530,500GB HDD
3762,Dell,819,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,1TB HDD
3763,Lenovo,399,4GB,AMD A9-Series 9420 2.9GHz,AMD Radeon 530,256GB SSD
3764,Lenovo,429,8GB,AMD A12-Series 9720P 3.6GHz,AMD Radeon R7,1TB HDD
3765,Lenovo,621.45,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD +  1TB HDD
3766,Lenovo,450,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
3767,Dell,795,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3768,Acer,999,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
3769,Lenovo,1855,16GB,Intel Core i7 6500U 2.5GHz,Nvidia Quadro M520M,512GB SSD
3770,Lenovo,1191,8GB,Intel Core i5 6300HQ 2.3GHz,Intel HD Graphics 520,256GB SSD
3771,HP,655.01,6GB,AMD A10-Series 9620P 2.5GHz,AMD Radeon 530,2TB HDD
3772,Lenovo,1249,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
3773,Dell,1089,8GB,Intel Core i5 7440HQ 2.8GHz,Nvidia GeForce 930MX,256GB SSD
3774,Dell,726,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
3775,Asus,298,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
3776,Dell,1426.66,16GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,512GB SSD
3777,Lenovo,857.07,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,256GB SSD
3778,Dell,1179,8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,256GB SSD
3779,Lenovo,298,4GB,AMD A6-Series 7310 2GHz,AMD Radeon R4,500GB HDD
3780,Mediacom,265,4GB,Intel Atom Z8350 1.92GHz,Intel HD Graphics 400,32GB HDD
3781,HP,1200,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 930MX,256GB SSD
3782,Lenovo,1686.64,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
3783,HP,836.6,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3784,Lenovo,1499,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3785,Dell,3659.4,32GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,1TB SSD +  1TB HDD
3786,MSI,1348.48,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
3787,Lenovo,489.9,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
3788,Dell,719,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,128GB SSD +  1TB HDD
3789,Dell,649,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
3790,Dell,589.52,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,1TB HDD
3791,HP,489,4GB,AMD A9-Series 9420 3GHz,AMD Radeon 520,1TB HDD
3792,Acer,1935,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
3793,Dell,649,12GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
3794,HP,650,6GB,AMD A9-Series A9-9420 3GHz,AMD Radeon 520,128GB SSD +  1TB HDD
3795,Acer,559,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
3796,Lenovo,960,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3797,Lenovo,779,4GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB HDD
3798,HP,2419,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M2200,256GB SSD
3799,Dell,659,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,1TB HDD
3800,MSI,2094.48,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
3801,Acer,410.8,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
3802,Dell,1207,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
3803,Dell,665,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD
3804,Toshiba,1535,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3805,Lenovo,999,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3806,Lenovo,3299,16GB,Intel Core i7 7600U 2.8GHz,Nvidia Quadro M520M,1TB SSD
3807,Acer,330,2GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB Flash Storage
3808,Samsung,1649,16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3809,HP,539,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD
3810,Dell,1126.71,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3811,HP,4389,16GB,Intel Xeon E3-1535M v5 2.9GHz,Nvidia Quadro M2000M,256GB SSD
3812,Lenovo,475,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,128GB SSD
3813,HP,1900,8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
3814,Asus,579,4GB,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce GTX 950M,1TB HDD
3815,Lenovo,1096,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,180GB SSD
3816,Asus,849.9,4GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3817,Lenovo,1199,8GB,Intel Core i5 6260U 1.8GHz,Intel HD Graphics 540,256GB SSD
3818,HP,1099,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
3819,HP,1561,8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia Quadro M1000M,256GB SSD
3820,Dell,2868.99,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
3821,Acer,599,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3822,Lenovo,1048,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
3823,Dell,1859,16GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,256GB SSD
3824,Google,1559,8GB,Intel Core i5 7Y57 1.2GHz,Intel HD Graphics 615,256GB SSD
3825,Asus,1129,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3826,Dell,849,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
3827,Acer,655,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
3828,Asus,470.34,4GB,Intel Pentium Quad Core N4200 1.1GHz,Nvidia GeForce 920MX,1TB HDD
3829,Dell,1099,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,128GB SSD +  1TB HDD
3830,Samsung,1599,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3831,Acer,298,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,1TB HDD
3832,Dell,1181.27,16GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,256GB SSD
3833,Samsung,1799,16GB,Intel Core i7 7500U 2.7GHz,AMD Radeon 540,256GB SSD
3834,Toshiba,1020,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
3835,Dell,1099,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
3836,HP,1244,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
3837,Asus,839,12GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,2TB HDD
3838,Lenovo,2370,16GB,Intel Core i7 6820HQ 2.7GHz,Nvidia Quadro M2000M,512GB SSD
3839,Acer,636,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,128GB SSD
3840,Razer,2899,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,512GB SSD
3841,Asus,581.9,8GB,Intel Pentium Dual Core N4200 1.1GHz,Intel HD Graphics 505,128GB SSD
3842,Dell,3588.8,32GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070M,1TB SSD +  1TB HDD
3843,Asus,2350,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
3844,Toshiba,1764,16GB,Intel Core i7 6600U 2.6GHz,Nvidia GeForce 930M,512GB SSD
3845,Lenovo,329,8GB,Intel Celeron Quad Core N3710 1.6GHz,Intel HD Graphics 405,1TB HDD
3846,Lenovo,2299,16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3847,MSI,1891,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
3848,MSI,1089,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
3849,Lenovo,999,4GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
3850,Acer,2299,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
3851,Dell,985,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
3852,Asus,1339,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX1060,128GB SSD +  1TB HDD
3853,Vero,202.9,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
3854,Lenovo,1970,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3855,Lenovo,959,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M460,256GB SSD
3856,Apple,1165,8GB,Intel Core M 1.2GHz,Intel HD Graphics 5300,512GB Flash Storage
3857,Lenovo,2330,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3858,Asus,299,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
3859,Dell,810,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3860,Lenovo,1349,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3861,Dell,739,8GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M420X,256GB SSD
3862,HP,2064.9,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M2200,256GB SSD
3863,Asus,1099,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3864,Dell,1499,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3865,Dell,1749,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
3866,Dell,744,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,128GB SSD
3867,HP,1389,8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,256GB SSD
3868,Toshiba,780,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
3869,HP,629,8GB,AMD A12-Series 9700P 2.5GHz,AMD Radeon R7 Graphics,2TB HDD
3870,Dell,1679,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,512GB SSD
3871,Lenovo,609,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920M,1TB HDD
3872,HP,1749,12GB,Intel Core i7 7700HQ 2.8GHz,AMD Radeon RX 580,1TB HDD
3873,MSI,2415,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,512GB SSD +  1TB HDD
3874,Samsung,1499,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3875,Dell,961,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GT 940MX,1TB HDD
3876,Dell,789.81,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M420,256GB SSD
3877,Lenovo,1859,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3878,Razer,1799,16GB,Intel Core i7 7500U 2.5GHz,Intel HD Graphics 620,512GB SSD
3879,HP,385,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,16GB Flash Storage
3880,Dell,2505.02,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
3881,Dell,755,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
3882,Lenovo,489.9,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
3883,Toshiba,1090,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3884,Lenovo,2499,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3885,MSI,1199,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
3886,Lenovo,1875,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB Flash Storage
3887,Toshiba,499,4GB,Intel Pentium Dual Core 4405U 2.1GHz,Intel HD Graphics 510,128GB SSD
3888,Asus,1358,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3889,Dell,585,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
3890,Acer,355,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB Flash Storage
3891,Acer,619,8GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,128GB SSD
3892,Razer,5499,32GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,512GB SSD
3893,Lenovo,2099,16GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,512GB SSD
3894,Asus,519,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920,1TB HDD
3895,Lenovo,1186,8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
3896,Lenovo,1650,8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,256GB SSD
3897,Dell,2774.63,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
3898,Asus,2419,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
3899,Toshiba,669,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,500GB HDD
3900,Lenovo,325,4GB,Intel Celeron Quad Core N3160 1.6GHz,Intel HD Graphics 400,16GB Flash Storage
3901,Asus,590,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB HDD
3902,Asus,1799,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,512GB SSD +  1TB HDD
3903,Dell,3072.89,32GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,512GB SSD +  1TB HDD
3904,HP,910,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 930MX,1TB HDD
3905,Dell,713.99,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3906,HP,1870,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
3907,Dell,739,4GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M420,256GB SSD
3908,HP,615,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
3909,Asus,1026,8GB,Intel Core i5 6200U 2.3GHz,Nvidia GeForce 940M,512GB SSD
3910,HP,2277,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3911,HP,1468,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
3912,HP,299,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,128GB SSD
3913,Asus,1899,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
3914,Dell,865,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,1TB HDD
3915,Lenovo,1903,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GT 940MX,256GB SSD
3916,Asus,787,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GTX 930MX,256GB SSD
3917,Dell,945,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3918,Asus,449,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,1TB HDD
3919,HP,2559,8GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,256GB SSD
3920,Dell,649,8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,1TB HDD
3921,Lenovo,469,4GB,Intel Core i3 6006U 2.0GHz,Intel HD Graphics 520,1TB HDD
3922,Lenovo,850.66,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
3923,HP,1349,8GB,Intel Core i5 7300U 2.6GHz,AMD Radeon R7 M465,256GB SSD
3924,Toshiba,1285,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3925,Lenovo,1017,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,1TB HDD
3926,Dell,2240,16GB,Intel Core i7 7660U 2.5GHz,Intel Iris Plus Graphics 640,512GB SSD
3927,HP,910,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
3928,Toshiba,1095,8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
3929,Lenovo,1950,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3930,Acer,902,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3931,Dell,1778,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M620,1TB HDD
3932,Lenovo,1055,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
3933,Lenovo,479,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,1TB HDD
3934,Toshiba,1388,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3935,Lenovo,735,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,180GB SSD
3936,Samsung,1849,16GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
3937,Dell,1690,8GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,256GB SSD
3938,Asus,398.99,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,1TB HDD
3939,Xiaomi,935,8GB,Intel Core i5 6200U 2.3GHz,Nvidia GeForce 940MX,256GB SSD
3940,Dell,912.5,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
3941,HP,839,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3942,HP,1700,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3943,HP,684.8,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
3944,Asus,348,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
3945,Lenovo,669,8GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 940MX,1TB HDD
3946,Dell,369,4GB,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics,500GB HDD
3947,HP,1799,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3948,Dell,455.7,4GB,Intel Core i3 6006U 2.0GHz,AMD Radeon R5 M420X,1TB HDD
3949,Asus,1369.9,12GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
3950,Acer,297,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB Flash Storage
3951,Lenovo,379,4GB,AMD A4-Series 7210 2.2GHz,AMD Radeon R3,500GB HDD
3952,HP,1265,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3953,HP,1399,16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3954,Samsung,1699,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3955,Lenovo,1799,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3956,MSI,2649,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,512GB SSD +  2TB HDD
3957,Toshiba,1475,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3958,Dell,929,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050Ti,1TB HDD
3959,HP,900,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 930MX,1TB HDD
3960,Dell,614,4GB,Intel Core i3 6006U 2.0GHz,AMD Radeon R5 M420X,1TB HDD
3961,Dell,935,8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,500GB HDD
3962,Dell,2013.1,8GB,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,512GB SSD
3963,Asus,1279,32GB,Intel Core i7 6820HK 2.7GHz,Nvidia GeForce GTX 980M,256GB SSD +  256GB SSD
3964,Dell,1649,16GB,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,256GB SSD
3965,Lenovo,2049,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB Flash Storage
3966,Lenovo,1962.99,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,512GB SSD
3967,LG,2099,16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3968,HP,1483,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3969,Acer,359,4GB,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,16GB Flash Storage
3970,Lenovo,789,8GB,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce GTX 960M,128GB SSD +  1TB HDD
3971,LG,1899,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
3972,Dell,1205,8GB,Intel Core i5 7440HQ 2.8GHz,Intel HD Graphics 620,256GB SSD
3973,HP,3100,8GB,Intel Core M 6Y75 1.2GHz,Intel HD Graphics 515,240GB SSD
3974,Lenovo,789,6GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
3975,HP,1018.99,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 930MX,256GB SSD
3976,Acer,499,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
3977,Lenovo,881,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
3978,HP,960,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3979,MSI,1599,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
3980,Dell,1349,16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
3981,MSI,1119.91,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
3982,Dell,684.99,4GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M420,1TB HDD
3983,HP,1296.99,8GB,Intel Core i7 6500U 2.5GHz,AMD Radeon R7 M365X,256GB SSD
3984,HP,1149,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3985,Toshiba,1975,16GB,Intel Core i7 6600U 2.6GHz,Nvidia GeForce 930M,256GB SSD
3986,Lenovo,1825,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,512GB SSD
3987,Dell,729.9,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
3988,Lenovo,1650,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
3989,HP,1165,8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
3990,Dell,708.06,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
3991,HP,1149,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
